"Acromyrmex_octospinosus"
"Adelomyrmex_myops"
"Amblyopone_australis"
"Anochetus_emarginatus"
"Anochetus_ghilianii"
"Anochetus_graeffei"
"Anochetus_mayri"
"Anochetus_sedilloti"
"Aphaenogaster_gemella"
"Aphaenogaster_iberica"
"Aphaenogaster_senilis"
"Brachymyrmex_aphidicola"
"Brachymyrmex_australis"
"Brachymyrmex_cordemoyi"
"Brachymyrmex_heeri"
"Brachymyrmex_minutus"
"Brachymyrmex_obscurior"
"Brachymyrmex_patagonicus"
"Brachyponera_sennaarensis"
"Camponotus_essigi"
"Camponotus_hova"
"Camponotus_novogranadensis"
"Camponotus_pennsylvanicus"
"Camponotus_planatus"
"Camponotus_sericeus"
"Camponotus_sexguttatus"
"Camponotus_tortuganus"
"Camponotus_variegatus"
"Camponotus_zonatus"
"Cardiocondyla_batesii"
"Cardiocondyla_mauritanica"
"Cardiocondyla_nigra"
"Cardiocondyla_nuda"
"Cardiocondyla_venustula"
"Chelaner_antarcticus"
"Crematogaster_inermis"
"Crematogaster_obscurata"
"Crematogaster_scutellaris"
"Crematogaster_sordidula"
"Crematogaster_subdentata"
"Cryptopone_testacea"
"Cylindromyrmex_whymperi"
"Cyphomyrmex_rimosus"
"Cyphomyrmex_salvini"
"Doleromyrma_darwiniana"
"Ectatomma_ruidum"
"Formica_paralugubris"
"Formica_rufibarbis"
"Gnamptogenys_triangularis"
"Hypoponera_confinis"
"Hypoponera_eduardi"
"Hypoponera_ergatandria"
"Hypoponera_opaciceps__pampana"
"Hypoponera_opacior"
"Hypoponera_trigona"
"Iridomyrmex_anceps"
"Iridomyrmex_suchieri"
"Lasius_citrinus"
"Lasius_emarginatus"
"Lasius_grandis"
"Lasius_neglectus"
"Lepisiota_bipartita"
"Lepisiota_canescens"
"Lepisiota_capensis"
"Lepisiota_frauenfeldi"
"Lepisiota_spinisquama"
"Lepisiota_syriaca"
"Leptogenys_falcigera"
"Leptogenys_maxillosa"
"Linepithema_iniquum"
"Lioponera_longitarsus"
"Mayriella_abstinens"
"Messor_capitatus"
"Messor_minor"
"Messor_structor"
"Monomorium_bicolor"
"Monomorium_carbonarium"
"Monomorium_exiguum"
"Monomorium_fieldi"
"Monomorium_indicum"
"Monomorium_liliuokalanii"
"Monomorium_monomorium"
"Monomorium_salomonis"
"Monomorium_subopacum"
"Monomorium_sydneyense"
"Monomorium_trageri"
"Myrmelachista_ramulorum"
"Myrmica_lobulicornis"
"Myrmica_rubra"
"Myrmica_scabrinodis"
"Myrmica_specioides"
"Nylanderia_bourbonica"
"Nylanderia_fulva"
"Nylanderia_glabrior"
"Nylanderia_guatemalensis"
"Nylanderia_jaegerskioeldi"
"Nylanderia_pubens"
"Nylanderia_steinheili"
"Nylanderia_vaga"
"Nylanderia_vividula"
"Odontomachus_bauri"
"Odontomachus_haematodus"
"Odontomachus_ruginodis"
"Odontomachus_simillimus"
"Odontomachus_troglodytes"
"Pachycondyla_harpax"
"Paraparatrechina_minutula"
"Pheidole_flavens"
"Pheidole_guineensis"
"Pheidole_navigans"
"Pheidole_obscurithorax"
"Pheidole_pallidula"
"Pheidole_pubiventris"
"Pheidole_punctatissima"
"Pheidole_susannae"
"Plagiolepis_pygmaea"
"Plagiolepis_schmitzii"
"Platythyrea_parallela"
"Platythyrea_punctata"
"Ponera_exotica"
"Ponera_leae"
"Ponera_swezeyi"
"Prionopelta_antillana"
"Prionopelta_kraepelini"
"Pseudomyrmex_cubaensis"
"Pseudomyrmex_elongatus"
"Pseudomyrmex_gracilis"
"Pseudomyrmex_major"
"Pseudoponera_stigma"
"Rhytidoponera_chalybaea"
"Rhytidoponera_metallica"
"Rhytidoponera_victoriae"
"Rogeria_curvipubens"
"Solenopsis_abdita"
"Solenopsis_globularia"
"Solenopsis_helena"
"Solenopsis_invicta"
"Solenopsis_orbula"
"Solenopsis_papuana"
"Solenopsis_picea"
"Solenopsis_richteri"
"Solenopsis_saevissima"
"Strumigenys_eggersi"
"Strumigenys_epinotalis"
"Strumigenys_gundlachi"
"Strumigenys_lanuginosa"
"Strumigenys_louisianae"
"Strumigenys_ludovici"
"Strumigenys_margaritae"
"Strumigenys_maxillaris"
"Strumigenys_perplexa"
"Strumigenys_rogeri"
"Strumigenys_silvestrii"
"Strumigenys_simoni"
"Syllophopsis_cryptobia"
"Syllophopsis_subcoeca"
"Tapinoma_darioi"
"Tapinoma_madeirense"
"Tapinoma_magnum"
"Tapinoma_nigerrimum"
"Tapinoma_sessile"
"Tapinoma_simrothi"
"Technomyrmex_albipes"
"Technomyrmex_difficilis"
"Technomyrmex_jocosus"
"Technomyrmex_kraepelini"
"Technomyrmex_pallipes"
"Technomyrmex_vitiensis"
"Temnothorax_longispinosus"
"Temnothorax_unifasciatus"
"Tetramorium_atratulum"
"Tetramorium_caldarium"
"Tetramorium_delagoense"
"Tetramorium_grassii"
"Tetramorium_immigrans"
"Tetramorium_impurum"
"Tetramorium_insolens"
"Tetramorium_lucayanum"
"Tetramorium_pacificum"
"Tetramorium_sericeiventre"
"Tetramorium_tonganum"
"Tetraponera_rufonigra"
"Trichomyrmex_mayri"
"Trichomyrmex_robustior"
"Wasmannia_auropunctata"
