"Anoplolepis_gracilipes"
"Cardiocondyla_emeryi"
"Cardiocondyla_itsukii"
"Cardiocondyla_kagutsuchi"
"Cardiocondyla_minutior"
"Cardiocondyla_obscurior"
"Hypoponera_opaciceps"
"Hypoponera_punctatissima"
"Hypoponera_ragusai"
"Linepithema_humile"
"Monomorium_floricola"
"Monomorium_pharaonis"
"Nylanderia_amia"
"Ooceraea_biroi"
"Paratrechina_longicornis"
"Pheidole_fervens"
"Pheidole_indica"
"Pheidole_megacephala"
"Pheidole_parva"
"Plagiolepis_alluaudi"
"Solenopsis_geminata"
"Strumigenys_emmae"
"Strumigenys_godeffroyi"
"Strumigenys_membranifera"
"Tapinoma_melanocephalum"
"Technomyrmex_brunneus"
"Tetramorium_bicarinatum"
"Tetramorium_kraepelini"
"Tetramorium_lanuginosum"
"Tetramorium_simillimum"
"Tetramorium_smithi"
"Tetraponera_allaborans"
"Trichomyrmex_destructor"
