"Brachyponera_chinensis"
"Brachyponera_luteipes"
"Cardiocondyla_wroughtonii"
"Erromyrma_latinodis"
"Lasius_niger"
"Lasius_sakagamii"
"Monomorium_intrudens"
"Nylanderia_flavipes"
"Ochetellus_glaber"
"Parvaponera_darwinii"
"Polyrhachis_dives"
"Strumigenys_hexamera"
"Strumigenys_lewisi"
"Syllophopsis_sechellensis"
"Tetramorium_tsushimae"
"Vollenhovia_emeryi"
